LON,LAT,resource_t,org_name,email,address,phone,optional_r
-85.7584557,38.2526647,Cut Flower Grower,Freshcutky,freshcutky@gmail.com,"Louisville, KY",www.freshcutky.co,Cut Flower Donations
-84.66204,38.198808,Cut Flower Grower,Gray Arbor Farm,grayarbor@gmail.com,388 soards rd georgetown ky 40324,Grayarborfarm.com,"Farmer's Market, Florist Wholesale, Wedding Design, On Farm Sales"
-84.5037164,38.0405837,Cut Flower Grower,GreenHouse17,smcguire@greenhouse17.org,"Lexington, KY",greenhouse17.org/our-farm/flower-csa/,"CSA, By The Stem"
-85.829748,37.07508,Cut Flower Grower,Growing Boys Farm ,sarahshirley@scrtc.com,"5428 Coral Hill Rd. Glasgow, KY 42141",,"Farmer's Market, Wedding Design, Farm Stands"
-83.2453489,36.9014725,Cut Flower Grower,Hartlove Farms,hartlovefarms@gmail.com,"3029 Hwy 522, Baxter, KY 40806",hartlovefarms.wordpress.com,"Farmer's Market, Farm Stands, CSA"
-84.739349,37.946761,Cut Flower Grower,Heart and Horizon ,mixedbordersky@gmail.com,1000 Fords Mill Road,,"Farmer's Market, Florist Wholesale"
-84.787504,38.1633612,Cut Flower Grower,Highland Moor,info@highlandmoor.com,"226 Shady Lane, Midway, KY 40347",www.highlandmoor.com,"Farmer's Market, Florist Wholesale"
-84.6580272,38.2068107,Cut Flower Grower,In Bloom Flower Farm,carly@inbloomcutflowers.com,160 Soards Rd Georgetown KY 40324,Inbloomcutflowers.com,"Florist Wholesale, Wedding Design, Farm Stands, Delivery"
-87.9007986,37.0039265,Cut Flower Grower,Meadowview Flowers,meadowviewflowers@gmail.com,2245 KY 1272,www.meadowviewflowers.com,"Florist Wholesale, Wedding Design, Delivery, CSA and U Pick"
-82.8329656,38.5279415,Cut Flower Grower,Mountain Girl Provision Company,mtnmomma61@hotmail.com,"578 Cedar Riffle Road, Greenup, KY 41144",,"Farmer's Market, Facebook, Home Delivery"
-86.1746693,36.9270695,Cut Flower Grower,River Bend Blooms,michelle.wheeler@riverbendblooms.com,"1781 River Bend Rd, Scottsville KY 42164",www.riverbendblooms.com,"Florist Wholesale, Subscriptions, Mobile Flower Truck, Members Market at Farm, Farm To Vase Events"
-84.764662,38.642992,Cut Flower Grower,Royson Ridge Farm,RoysonRidge@gmail.com,"14065 Jonesville Road, Dry Ridge, KY  41035",,Farmer's Market
-84.9698934,37.5453332,Cut Flower Grower,Shooting Star Farm,shootingstarflowers@gmail.com,"355 Gorley Road, Gravel Switch KY 40328",,Farmer's Market
-86.5863097,36.9387554,Cut Flower Grower,Starry Fields Farm LLC,starryfieldsfarmky@gmail.com,"2750 Browning Rd Rockfield, KY 42274",www.starryfieldsflowers.com,"Florist Wholesale, Wedding Design, Online Order for Delivery"
-85.7584557,38.2526647,Cut Flower Grower,Tappendorf Flower Co.,abby@tappendorfflower.co,"Louisville, KY",www.tappendorfflower.co,Florist Wholesale
-87.269013,36.722974,Cut Flower Grower,The Flower Patch,jknope49@yahoo.com,"3147 Cemetery Rd Trenton, Ky 42286",,"Farmer's Market, Florist Wholesale, Specialty Stores"
-85.2536911,37.1689385,Cut Flower Grower,The Glass Parlor - Kentucky Flower Farm and Events,theglassparlor@gmail.com,262 Snake Creek Rd,theglassparlor.com,"Florist Wholesale, Wedding Design, Local Gift Shops"
-86.018223,37.052916,Cut Flower Grower,Thornless Thistle,thornlessthistle@gmail.com,3101 Park City Glasgow Rd,,"Farmer's Market, Wedding Design, Farm Stands, Delivery"
-84.2778876,37.9647778,Cut Flower Grower,Three Toads Farm,vschirmer3@gmail.com,"3808 Combs Ferry Road, Winchester, KY 40391",www.threetoadsfarm.com,"Farmer's Market, Florist Wholesale, Wedding Design, On Farm Workshops"
-82.640332,38.461293,Cut Flower Grower,Wild Paint Cut Flowers,Karenhogsten@gmail.com,"2828 Hackworth Street Ashland, Ky 41101",Wildpaintcutflowers.com,"Farmer's Market, Florist Wholesale, Wedding Design, Subscription service"
-84.8481571,37.8004027,Cut Flower Grower,Wild Roots,wildrootsfarmerflorist@gmail.com,"138 Virgnia Ave, Harrodsburg, KY 40330",wildrootsfarmerflorist.com,"Florist Wholesale, Wedding Design, Farm Stands"
